date,cutlery,tips,order_price,uid,order_id
2022-01-14 21:01:56,4,130,554,434091,13455689
2022-01-24 18:01:47,3,80,364,665807,36566473
2022-01-11 04:59:56,1,60,770,952812,89399534
2022-01-19 02:08:28,2,20,407,742018,57462101
2022-01-28 20:40:48,3,30,774,325847,86415903
2022-01-13 17:01:45,1,20,551,868972,85500966
2022-01-10 09:55:43,1,60,375,295665,91168824
2022-01-01 07:56:22,4,20,620,983448,75785590
2022-01-01 07:39:41,4,0,0,994796,43661893
2022-01-06 11:09:06,3,130,845,656611,74003402
2022-01-05 23:41:38,2,30,451,787209,25131766
2022-01-25 21:21:39,1,30,760,624344,35525963
2022-01-05 09:38:22,2,50,597,593633,33254213
2022-01-26 15:15:02,1,20,847,370213,66802610
2022-01-11 03:53:32,1,60,378,368408,27019746
2022-01-31 14:22:32,4,150,1175,723081,41596112
2022-01-08 05:28:28,6,150,1188,678161,69722990
2022-01-23 02:16:14,4,80,471,404136,23341811
2022-01-01 01:00:41,5,0,0,246892,87751572
2022-01-03 02:34:05,4,110,675,318278,11735590
2022-01-09 02:22:41,2,10,570,920967,76385228
2022-01-15 05:52:42,4,90,762,806307,60194575
2022-01-27 11:52:14,4,150,789,889668,59259791
2022-01-02 02:15:55,2,80,594,229896,48740238
2022-01-22 23:52:51,1,10,455,494631,78097634
2022-01-13 10:52:04,5,130,1198,323782,55289209
2022-01-04 08:33:32,2,10,848,749093,39224531
2022-01-29 08:58:40,2,10,454,959081,72283255
2022-01-30 06:10:47,5,90,391,743808,17454564
2022-01-07 02:22:22,4,90,874,293920,16608031
2022-01-01 06:21:20,6,0,0,754213,53095210
2022-01-06 10:37:19,2,110,953,980250,11431791
2022-01-16 11:17:36,3,20,322,868047,45153151
2022-01-29 14:17:07,4,120,625,224220,32871413
2022-01-14 10:51:50,6,160,1411,953635,34690781
2022-01-26 14:52:14,5,120,265,244058,60420816
2022-01-19 08:20:05,2,90,376,624606,37809181
2022-01-23 13:21:37,5,70,696,845298,57102273
2022-01-31 20:14:32,3,150,547,882834,30415362
2022-01-21 20:45:51,2,40,832,280405,38150174
2022-01-22 01:30:46,4,10,697,716208,27708312
2022-01-14 07:03:16,4,80,887,671700,24784479
2022-01-19 09:34:21,3,40,719,948429,54450121
2022-01-01 05:18:49,4,0,0,607207,76502063
2022-01-06 05:32:40,2,40,361,391698,45726783
2022-01-27 08:39:02,3,20,301,606407,28899852
2022-01-15 06:28:41,1,10,735,665734,72707962
2022-01-27 20:56:34,2,40,652,898397,35492734
2022-01-06 19:28:02,6,140,1120,135752,22302498
2022-01-30 13:09:20,5,70,467,605858,51638152
2022-01-01 18:01:42,4,0,0,496132,36171759
2022-01-05 18:02:51,4,10,595,842446,98007566
2022-01-01 12:17:58,6,0,0,857322,11870598
2022-01-19 02:01:36,3,90,584,203037,73877648
2022-01-26 07:39:01,4,80,350,176311,51616560
2022-01-01 10:12:03,5,0,0,321930,62837441
2022-01-11 11:03:06,2,100,421,637967,27687297
2022-01-01 03:00:13,2,10,454,513288,76913282
2022-01-17 16:27:29,4,130,796,369446,72138394
2022-01-04 03:43:35,1,10,314,595531,94980133
2022-01-04 03:49:50,5,110,285,871962,15783160
2022-01-21 22:11:38,2,30,391,864447,71548507
2022-01-31 22:04:57,3,120,524,286158,14743029
2022-01-17 19:34:55,1,50,434,716371,70177497
2022-01-19 23:40:45,3,100,468,852272,27595231
2022-01-01 13:34:15,5,0,0,141407,78001726
2022-01-01 06:52:39,4,0,0,871867,81655678
2022-01-03 16:42:25,4,20,397,509483,11141973
2022-01-15 06:41:30,4,60,552,830720,90512824
2022-01-21 10:50:37,1,90,356,124870,41227716
2022-01-11 08:36:56,5,90,421,927684,19944051
2022-01-01 23:40:50,5,0,0,621463,73366203
2022-01-01 13:50:32,6,0,0,118490,97538897
2022-01-15 17:36:13,4,20,900,100273,59010215
2022-01-06 19:24:20,3,20,530,779789,40458121
2022-01-01 17:31:08,4,0,0,983063,30336316
2022-01-31 04:52:47,2,80,345,880464,11763570
2022-01-17 12:38:35,5,70,623,145291,91035537
2022-01-30 02:41:16,4,100,440,808088,33979387
2022-01-22 21:49:26,4,120,649,502042,48858571
2022-01-06 11:07:40,5,110,395,452430,52179873
2022-01-01 21:40:43,4,0,0,842459,22363918
2022-01-01 22:50:51,6,0,0,562106,64508166
2022-01-16 03:56:59,2,30,927,791585,47306141
2022-01-20 18:19:47,3,110,312,763053,69575658
2022-01-01 03:22:05,6,0,0,204752,94906974
2022-01-01 12:57:29,6,0,0,539266,21087697
2022-01-14 03:53:05,1,60,841,872655,64753210
2022-01-10 01:54:30,4,120,332,839099,34576992
2022-01-15 02:53:06,4,60,593,833390,29011469
2022-01-01 06:23:18,6,0,0,153860,53458960
2022-01-08 06:25:08,3,40,385,859232,43509758
2022-01-27 11:30:24,2,80,897,346814,88478247
2022-01-07 14:01:26,3,60,860,718755,31626295
2022-01-11 21:17:50,1,50,602,889865,60032994
2022-01-20 11:44:12,3,40,896,700804,27157720
2022-01-27 17:09:36,2,40,397,648982,99143604
2022-01-01 13:39:46,4,170,1217,857564,71136049
2022-01-26 02:11:06,2,50,957,762113,34932417
2022-01-01 16:58:21,4,0,0,377757,45779416
2022-01-04 06:30:40,2,30,664,591939,97972019
2022-01-13 07:23:37,4,20,544,906255,15169840
2022-01-01 01:00:14,3,10,820,269677,72423466
2022-01-15 20:04:26,3,40,361,633000,23590503
2022-01-07 11:10:16,4,130,1027,776342,27285513
2022-01-25 02:46:25,4,140,367,950514,68770751
2022-01-15 05:38:27,3,50,533,947757,76596577
2022-01-01 05:26:15,6,0,0,290972,22691859
2022-01-05 10:09:01,2,110,796,275258,80230382
2022-01-17 15:53:38,2,20,854,248370,54725056
2022-01-01 06:17:38,4,0,0,659014,93679614
2022-01-15 02:55:26,4,120,802,243336,93977181
2022-01-22 15:54:23,1,80,605,912012,32049519
2022-01-22 22:25:59,4,40,469,492885,17926883
2022-01-01 18:48:49,2,60,340,258548,84859337
2022-01-31 22:42:54,2,20,491,758458,30914917
2022-01-29 12:41:55,3,80,862,106674,10497236
2022-01-20 00:01:18,4,60,342,931984,19710348
2022-01-30 00:54:00,3,30,417,894484,65209935
2022-01-01 17:16:33,6,0,0,224220,32871413
2022-01-20 12:57:39,1,40,826,176311,51616560
2022-01-23 10:47:03,1,80,917,903525,30559980
2022-01-15 16:42:49,2,70,906,432900,64635896
2022-01-14 18:46:56,3,110,275,504316,31135167
2022-01-21 13:42:11,5,100,500,667871,56771600
2022-01-14 18:03:12,4,30,880,652970,30615725
2022-01-12 06:04:39,2,90,464,194208,96665397
2022-01-22 08:00:51,4,40,356,908902,59107604
2022-01-29 05:13:33,3,30,383,800749,20788536
2022-01-01 04:50:31,5,0,0,950033,53625066
2022-01-24 00:04:02,4,40,645,396560,60510061
2022-01-13 03:04:11,1,20,689,739045,97899177
2022-01-01 02:25:03,3,140,1171,992035,17355621
2022-01-19 08:36:51,4,10,789,650455,20713734
2022-01-28 20:31:54,3,50,405,291319,37038966
2022-01-10 05:14:15,2,120,767,264058,39222259
2022-01-26 15:53:23,1,20,292,898491,10122897
2022-01-31 14:44:12,3,170,1907,112472,86625609
2022-01-19 19:42:40,3,30,838,258632,20685715
2022-01-01 04:03:12,5,0,0,559181,71511159
2022-01-20 02:35:56,3,10,495,742581,33377122
2022-01-25 17:19:08,3,100,320,705886,24922663
2022-01-26 22:11:26,4,100,811,339688,45344742
2022-01-10 17:48:08,3,90,902,611739,77333242
2022-01-12 18:22:46,3,50,500,565139,46331780
2022-01-28 14:06:17,6,150,1172,586068,87373035
2022-01-24 07:54:27,4,30,331,262270,55838580
2022-01-17 01:20:16,3,80,509,837313,83120435
2022-01-30 15:37:36,5,80,360,145182,21282685
2022-01-09 18:23:20,2,60,376,281927,38593134
2022-01-28 12:31:44,3,20,703,950223,41478623
2022-01-20 16:30:14,2,30,780,303875,80662127
2022-01-15 16:16:29,1,50,673,409068,23510140
2022-01-01 03:46:22,6,0,0,584535,44689473
2022-01-04 11:26:35,4,20,402,966681,49643666
2022-01-12 02:57:25,4,80,459,511798,79440535
2022-01-14 11:53:56,3,50,735,667257,17012903
2022-01-29 06:19:29,2,50,598,907079,58170858
2022-01-31 22:53:17,1,60,677,276922,87113293
2022-01-27 01:04:50,3,80,1020,947701,67346223
2022-01-01 02:34:47,5,0,0,327779,48903270
2022-01-01 13:17:35,4,0,0,295968,58579109
2022-01-24 03:25:01,6,140,608,410555,61298470
2022-01-01 09:39:15,4,0,0,239975,88862502
2022-01-24 07:53:08,1,70,714,312972,32497648
2022-01-02 22:48:15,2,70,374,224432,30823963
2022-01-12 15:13:48,1,30,334,623862,79087637
2022-01-25 21:57:51,3,50,588,585345,88178635
2022-01-27 13:03:56,3,10,930,715528,26297406
2022-01-07 22:12:42,3,60,486,305139,24522118
2022-01-04 08:49:07,3,10,577,942480,55495103
2022-01-03 16:52:20,2,50,779,503002,58674567
2022-01-29 14:48:29,5,120,811,271987,52462682
2022-01-18 14:47:37,4,70,1028,455121,69859489
2022-01-06 22:40:33,2,60,660,411796,19740113
2022-01-01 14:37:46,4,0,0,275709,52123423
2022-01-02 17:01:51,2,50,897,854105,52419056
2022-01-28 13:09:17,4,40,801,834521,33053134
2022-01-31 05:12:13,1,20,679,801495,70172259
2022-01-01 17:12:08,4,0,0,528344,55281391
2022-01-15 10:09:16,2,60,850,190809,67802746
2022-01-11 23:53:40,5,70,775,603380,31600725
2022-01-10 17:41:48,2,40,658,444402,40417581
2022-01-27 10:13:56,1,30,594,789941,12928584
2022-01-01 05:20:43,5,0,0,997586,32122445
2022-01-01 04:06:39,5,0,0,399296,31690192
2022-01-25 10:34:53,1,40,340,526202,45056390
2022-01-01 15:14:19,5,0,0,811770,89179039
2022-01-15 11:32:43,3,10,809,347770,57955730
2022-01-22 19:44:59,2,50,357,736711,38856373
2022-01-05 20:51:06,1,70,508,484562,61644533
2022-01-26 10:21:15,4,80,386,208270,15485243
2022-01-07 21:08:22,5,150,364,726189,97420995
2022-01-29 22:58:18,3,110,659,990194,81569232
2022-01-01 01:38:26,5,0,0,340513,66732019
2022-01-13 04:49:40,2,50,403,238969,12170349
2022-01-01 16:57:25,5,0,0,307282,74201076
2022-01-30 04:51:15,4,100,351,249286,31478690
2022-01-01 09:41:16,4,0,0,334683,77023080
2022-01-21 15:27:39,2,30,347,621938,33332476
2022-01-16 18:06:55,4,40,927,742638,27313171
2022-01-13 20:49:22,1,60,815,614365,13703476
2022-01-10 11:32:15,3,110,728,346382,29197334
2022-01-10 12:01:37,2,90,783,366525,94540452
2022-01-29 15:26:33,2,50,378,599249,97324445
2022-01-19 16:12:05,4,70,637,543902,66926583
2022-01-14 01:31:24,3,100,820,664798,49871291
2022-01-01 18:30:48,3,170,1862,514837,67162044
2022-01-24 17:46:00,2,50,365,154016,40422708
2022-01-02 04:39:16,5,110,995,980402,82768711
2022-01-25 01:27:25,1,30,277,138077,24341077
2022-01-24 09:03:20,3,10,752,466986,75018048
2022-01-27 10:49:54,3,170,557,379164,48888489
2022-01-16 05:03:19,1,60,413,222855,32118011
2022-01-14 03:08:17,5,140,884,916494,73119042
2022-01-26 07:21:32,4,20,394,777796,39992899
2022-01-01 05:08:23,6,0,0,513468,95799273
2022-01-16 03:45:37,4,110,285,563291,80934447
2022-01-01 19:45:52,6,0,0,966681,49643666
2022-01-19 11:09:11,3,100,668,472806,36698954
2022-01-09 01:46:09,4,150,418,997586,32122445
2022-01-10 09:55:32,3,20,353,329066,20757294
2022-01-31 10:26:43,4,90,929,806991,80851320
2022-01-04 03:54:00,4,50,620,723170,48773431
2022-01-01 09:33:56,4,0,0,460771,67291536
2022-01-06 09:05:49,3,50,483,860744,71304731
2022-01-08 23:37:38,4,100,771,634579,67441610
2022-01-26 05:29:11,3,50,970,995434,29814043
2022-01-12 03:23:34,3,10,700,295806,63001386
2022-01-20 13:16:27,3,40,688,346607,89348935
2022-01-01 19:52:44,6,0,0,616470,11087676
2022-01-22 17:10:14,2,30,412,672376,27141526
2022-01-03 01:17:49,3,120,1022,514996,64115250
2022-01-08 00:37:42,4,20,598,449925,77719206
2022-01-19 20:55:49,6,140,737,776175,23958667
2022-01-01 18:32:51,5,120,1011,261500,32980172
2022-01-18 03:52:59,4,50,575,279585,17170690
2022-01-16 03:51:45,5,70,634,165587,15050952
2022-01-04 08:25:45,4,20,830,281938,80352221
2022-01-09 14:44:46,4,30,715,919749,71962631
2022-01-30 23:50:54,4,90,600,253222,10734651
2022-01-25 21:33:56,1,40,656,125383,71925248
2022-01-02 01:56:46,3,130,794,686259,39708422
2022-01-03 16:30:32,1,50,552,429410,75474537
2022-01-06 05:58:23,1,70,431,404988,71019699
2022-01-12 07:52:38,2,60,420,305062,63843537
2022-01-31 05:59:22,6,140,1156,465914,42494850
2022-01-23 07:06:16,1,60,677,575669,75902653
2022-01-25 08:39:17,1,10,925,386531,27350934
2022-01-14 15:54:08,3,30,495,471036,99487683
2022-01-27 14:00:10,5,70,601,285785,85531481
2022-01-03 06:44:11,4,40,805,445659,10281886
2022-01-18 22:54:57,5,90,1004,493896,18816313
2022-01-01 15:21:09,6,0,0,342190,53856910
2022-01-12 01:51:49,3,80,934,445495,40466078
2022-01-23 05:50:36,2,30,364,670749,30815000
2022-01-20 05:25:00,1,10,544,917944,36897586
2022-01-08 20:03:06,5,120,891,241923,93256224
2022-01-23 10:00:35,4,10,730,932414,30321533
2022-01-01 10:46:16,4,0,0,453780,65121466
2022-01-08 16:59:11,2,90,462,810828,52287361
2022-01-15 17:35:13,3,50,936,402409,67409859
2022-01-01 08:39:20,4,0,0,491109,42654547
2022-01-11 19:10:01,4,20,470,688937,53423767
2022-01-20 20:00:04,4,30,808,171594,17165717
2022-01-01 14:32:16,6,0,0,182120,83056878
2022-01-17 12:39:27,3,10,839,438837,47104269
2022-01-12 18:30:18,3,150,890,977407,63646569
2022-01-20 19:57:55,1,70,435,687129,84314835
2022-01-16 16:31:18,1,30,612,909542,33384092
2022-01-01 03:40:28,4,0,0,139933,75831064
2022-01-03 19:15:59,3,60,622,202463,25195220
2022-01-06 23:44:18,3,80,721,246892,87751572
2022-01-26 18:01:08,1,60,707,222855,98750397
2022-01-01 19:22:57,5,0,0,246366,74841200
2022-01-25 09:23:23,3,10,591,708403,36676231
2022-01-16 23:50:10,3,60,607,855442,37869285
2022-01-17 10:33:19,2,30,743,431510,71234168
2022-01-29 16:39:25,4,120,425,228996,42265987
2022-01-29 09:41:54,1,90,548,226310,80736772
2022-01-01 09:07:53,6,0,0,132683,24027677
2022-01-06 01:11:48,5,140,1048,727901,23067768
2022-01-18 16:21:06,3,20,348,461996,89042093
2022-01-03 21:56:16,2,20,617,959971,84271929
2022-01-08 20:59:32,5,80,681,197304,62459360
2022-01-13 12:58:55,4,50,541,202818,26619389
2022-01-17 10:54:02,3,90,401,791253,61968334
2022-01-20 13:23:56,2,50,339,121280,11489747
2022-01-04 00:56:13,2,70,425,976969,41843004
2022-01-16 13:51:19,1,20,839,219511,78964645
2022-01-24 05:49:23,3,50,514,776277,63423260
2022-01-02 20:29:23,4,40,958,505813,24570139
2022-01-13 11:10:38,3,80,550,795658,59476701
2022-01-04 10:05:33,1,80,531,593975,79537551
2022-01-23 06:27:58,3,120,447,776016,17522078
2022-01-20 22:54:31,1,10,653,674871,72061322
2022-01-30 11:37:25,4,40,702,171613,64015110
2022-01-26 22:19:54,6,160,983,909536,59459512
2022-01-12 01:23:38,1,50,488,657088,90381777
2022-01-04 19:26:56,1,10,915,112858,98854569
2022-01-01 03:41:17,4,0,0,643443,88709927
2022-01-04 10:38:02,2,40,965,154153,73502502
2022-01-09 21:01:28,3,60,353,912501,67120314
2022-01-11 09:14:36,2,40,386,701355,59954348
2022-01-14 22:24:03,3,30,751,954508,22578246
2022-01-16 19:59:49,5,90,765,884828,98706727
2022-01-02 09:27:11,3,100,947,144932,80825225
2022-01-25 02:03:05,5,110,790,579755,78393826
2022-01-26 04:27:42,4,120,337,339971,90928243
2022-01-01 23:48:40,5,0,0,124290,92571338
2022-01-04 06:33:51,2,30,311,144932,80825225
2022-01-11 12:10:53,4,30,281,225550,23763394
2022-01-03 23:47:34,2,100,776,561544,29939974
2022-01-11 16:35:29,1,20,526,339971,90928243
2022-01-04 10:25:43,4,10,388,633296,28217676
2022-01-26 11:16:47,2,60,795,988887,25712373
2022-01-02 05:23:01,2,110,916,578767,66467191
2022-01-23 16:03:45,5,100,747,362033,50913320
2022-01-06 00:41:23,3,20,405,599776,80140294
2022-01-17 09:57:13,2,30,606,796309,93631361
2022-01-01 09:24:33,5,0,0,709693,71996634
2022-01-24 00:44:12,5,130,553,705253,45450441
2022-01-19 04:47:42,5,90,578,573766,82424374
2022-01-01 04:25:39,4,0,0,984686,39192895
2022-01-27 16:13:23,1,10,648,510299,96427764
2022-01-01 06:01:24,4,0,0,150819,13109793
2022-01-31 11:32:11,5,110,901,469120,12449845
2022-01-19 06:34:57,1,50,607,721102,67062491
2022-01-31 05:03:18,4,100,338,118490,97538897
2022-01-19 00:11:27,2,20,596,760405,23741357
2022-01-20 15:21:09,5,70,709,350807,51714371
2022-01-08 15:28:26,4,80,517,221847,72608816
2022-01-17 11:55:53,5,120,902,991715,86568014
2022-01-10 06:49:31,1,30,513,682403,73665994
2022-01-10 13:36:29,6,150,1120,186982,96295715
2022-01-27 00:04:51,4,10,846,468598,81923683
2022-01-27 11:06:18,5,90,600,852322,13811303
2022-01-28 06:15:48,4,100,338,652110,56168657
2022-01-09 07:25:45,6,150,972,731825,62057418
2022-01-22 22:20:33,2,10,778,992994,34520823
2022-01-26 01:19:12,5,110,791,562186,93833825
2022-01-24 21:45:59,2,90,396,492531,74377200
2022-01-19 23:06:03,2,60,765,437504,55559077
2022-01-12 20:04:17,4,20,361,425583,84781738
2022-01-01 15:01:04,5,0,0,690219,53629208
2022-01-13 08:09:05,2,40,405,659634,32475614
2022-01-15 11:41:53,2,80,963,447923,72341456
2022-01-19 19:51:53,1,30,894,430806,71610426
2022-01-07 13:21:38,1,10,553,393418,41188660
2022-01-01 18:40:07,6,0,0,689631,34349070
2022-01-05 03:48:34,2,100,688,545009,80925180
2022-01-02 21:44:52,2,50,670,877329,80364165
2022-01-06 01:00:06,2,80,775,788973,26039459
2022-01-12 03:12:48,1,10,418,822533,89144179
2022-01-30 14:37:49,3,110,542,585912,63257311
2022-01-25 19:03:00,1,70,935,785164,87583896
2022-01-27 22:16:48,4,150,475,272480,46181292
2022-01-04 17:01:09,1,20,454,470431,62198004
2022-01-26 06:35:50,4,70,428,443618,92259096
2022-01-31 20:38:48,1,60,545,299687,33089838
2022-01-03 23:18:15,1,30,544,673449,70793338
2022-01-13 10:24:53,3,50,858,540153,49940582
2022-01-23 02:04:50,4,40,372,122172,13344612
2022-01-22 08:44:22,3,10,391,360684,33556716
2022-01-11 10:30:36,1,30,478,196554,96258957
2022-01-10 02:33:44,3,10,733,408625,83126674
2022-01-01 15:31:02,5,0,0,500722,49908424
2022-01-05 11:44:07,5,80,417,742018,57462101
2022-01-11 11:58:27,3,170,907,434519,58952039
2022-01-05 09:45:24,4,50,742,998542,33582700
2022-01-22 16:06:10,4,90,653,961709,54970984
2022-01-05 00:20:40,3,30,310,593475,37525882
2022-01-08 10:01:20,3,50,931,799720,88154543
2022-01-01 04:02:00,4,0,0,256811,85819777
2022-01-15 14:13:12,3,50,782,136834,74011227
2022-01-04 04:53:52,3,30,603,415034,72439192
2022-01-15 17:28:36,4,30,608,282882,98553590
2022-01-20 07:21:57,3,70,867,922642,37183151
2022-01-01 08:10:18,3,60,813,673403,75478031
2022-01-28 21:46:13,4,20,839,883704,73030600
2022-01-06 20:20:20,2,100,795,145645,26274007
2022-01-21 05:16:01,2,50,677,550312,32477735
2022-01-11 02:37:23,6,160,989,770335,22415650
2022-01-06 00:19:58,3,150,723,933464,19446155
2022-01-05 11:21:01,4,80,396,307757,11361515
2022-01-01 19:56:27,6,0,0,301038,70321185
2022-01-24 18:32:24,2,30,382,511094,83832039
2022-01-08 20:45:12,4,120,387,331820,14319443
2022-01-18 04:05:00,4,90,697,120951,17930542
2022-01-01 14:31:01,4,0,0,860763,60023259
2022-01-26 08:09:15,1,50,705,323346,74923551
2022-01-20 04:09:09,3,20,821,549862,58441766
2022-01-25 11:17:35,3,110,846,780130,27209296
2022-01-28 21:32:44,2,10,592,581321,48041661
2022-01-13 20:49:40,4,10,536,496237,88600506
2022-01-07 00:04:30,4,60,377,933612,66643995
2022-01-13 22:22:31,2,110,457,169920,29082806
2022-01-04 18:38:51,3,80,490,578241,52819156
2022-01-19 02:31:18,4,10,306,172846,49577718
2022-01-05 17:08:54,1,90,908,822174,42883394
2022-01-24 11:36:08,5,70,531,356913,37374469
2022-01-31 16:21:55,3,50,500,156410,56089589
2022-01-06 14:06:29,2,50,510,524922,87144842
2022-01-10 10:35:20,3,60,580,821801,38157172
2022-01-02 07:08:44,4,50,405,943944,80245999
2022-01-02 15:32:11,6,150,899,599997,77115705
2022-01-28 15:44:32,4,140,1140,443669,14958119
2022-01-03 22:29:31,4,70,681,986226,68345484
2022-01-17 17:13:17,1,80,367,748219,46649084
2022-01-07 20:04:04,1,10,284,546057,44513521
2022-01-13 03:49:38,1,50,444,737066,17387747
2022-01-01 09:34:31,6,0,0,294920,89952737
2022-01-20 07:26:19,5,80,735,583093,22821716
2022-01-01 16:59:11,4,150,506,855274,31275250
2022-01-01 04:54:38,6,170,710,247642,10507177
2022-01-25 16:42:00,2,40,388,932050,10613418
2022-01-01 23:31:29,6,0,0,454533,47773352
2022-01-02 11:46:12,4,60,901,693988,56125536
2022-01-26 18:57:39,5,100,827,557262,89182010
2022-01-23 16:40:49,4,40,478,391852,54088762
2022-01-01 23:08:30,6,170,649,177294,12788825
2022-01-26 00:44:12,3,60,535,465914,42494850
2022-01-01 11:12:47,5,0,0,360684,33556716
2022-01-21 01:27:28,4,60,361,285785,85531481
2022-01-08 10:00:51,2,100,283,133156,80270252
2022-01-11 00:41:07,4,100,961,672462,39144905
2022-01-17 08:18:56,3,10,326,803368,13561913
2022-01-27 16:21:19,5,120,922,806307,60194575
2022-01-24 00:18:20,2,50,662,168654,16606467
2022-01-01 11:23:26,6,0,0,883194,78205694
2022-01-22 17:02:52,3,50,388,614068,94214727
2022-01-11 06:19:47,4,30,706,658800,34064810
2022-01-23 03:26:05,5,70,744,596939,90936477
2022-01-01 18:35:00,5,0,0,427866,30257883
2022-01-01 10:30:58,5,0,0,751477,61496020
2022-01-25 03:16:04,1,20,465,434262,79545954
2022-01-24 10:42:47,1,30,931,225444,59117293
2022-01-23 15:12:13,4,40,704,188238,92364033
2022-01-16 00:33:20,3,130,649,661951,30406222
2022-01-01 05:02:46,5,0,0,818143,92140954
2022-01-03 05:16:48,4,70,929,566123,67024304
2022-01-19 20:59:10,1,50,573,888294,33380531
2022-01-02 17:52:00,1,80,606,440203,37015892
2022-01-08 18:24:23,5,90,620,334683,77023080
2022-01-19 10:56:53,6,140,770,298589,81195811
2022-01-05 14:45:42,4,60,847,662956,74903184
2022-01-03 04:36:17,3,40,502,509314,10468351
2022-01-01 11:49:21,5,0,0,963951,71762349
2022-01-25 07:40:25,2,20,816,544055,51952637
2022-01-07 12:11:57,3,10,837,353275,15258826
2022-01-03 11:29:28,4,20,559,645396,48956361
2022-01-12 11:52:26,2,60,442,290972,22691859
2022-01-02 08:35:41,1,60,408,533002,85673900
2022-01-05 15:01:14,1,10,837,613597,64610063
2022-01-24 20:12:39,5,120,496,595197,24610911
2022-01-02 14:39:06,3,150,944,842760,57642499
2022-01-15 01:37:55,4,90,604,469331,10323614
2022-01-26 05:51:21,4,20,752,333358,35586570
2022-01-24 01:16:11,3,30,710,478089,60076215
2022-01-27 22:53:41,4,110,656,487826,39908573
